strain	taxonomyId	accession	isRef	level	chromosomeCount	length	scaffoldCount	scaffoldN50	scaffoldL50	coverage	gcPercent	annotationStatus	pairedAccession	species	speciesTaxonomyId	lineageTaxonomyIds	taxonomicGroup	taxonomicLevelDomain	taxonomicLevelRealm	taxonomicLevelKingdom	taxonomicLevelPhylum	taxonomicLevelClass	taxonomicLevelOrder	taxonomicLevelFamily	taxonomicLevelGenus	taxonomicLevelSpecies	taxonomicLevelStrain	ucscBrowser	genBank	refSeq	geneModelUrl
p89	943119	GCA_000224885.2	False	Scaffold		64134631	2150.0	1602490.0	13.0	26.9x	52.5			Toxoplasma gondii	5811	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5809,5810,5811,943119	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma	Toxoplasma gondii	Toxoplasma gondii p89	https://genome.ucsc.edu/h/GCA_000224885.2	GCA_000224885.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/224/885/GCA_000224885.2/genes/GCA_000224885.2_TGP89A_v02.augustus.gtf.gz
ARI	1074872	GCA_000250965.2	False	Scaffold		64669084	2723.0	2267189.0	9.0	46.3x	52.5			Toxoplasma gondii	5811	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5809,5810,5811,1074872	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma	Toxoplasma gondii	Toxoplasma gondii ARI	https://genome.ucsc.edu/h/GCA_000250965.2	GCA_000250965.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/250/965/GCA_000250965.2/genes/GCA_000250965.2_TGARI_v2.augustus.gtf.gz
MAS	943118	GCA_000224865.2	False	Scaffold		63291187	2180.0	977518.0	20.0	42.8x	52.5			Toxoplasma gondii	5811	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5809,5810,5811,943118	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma	Toxoplasma gondii	Toxoplasma gondii MAS	https://genome.ucsc.edu/h/GCA_000224865.2	GCA_000224865.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/224/865/GCA_000224865.2/genes/GCA_000224865.2_TGMAS1_v2.augustus.gtf.gz
TgCatPRC2	1130821	GCA_000256725.2	False	Scaffold		64163177	3060.0	1488204.0	15.0	28.5x	52.5			Toxoplasma gondii	5811	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5809,5810,5811,1130821	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma	Toxoplasma gondii	Toxoplasma gondii TgCatPRC2	https://genome.ucsc.edu/h/GCA_000256725.2	GCA_000256725.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/256/725/GCA_000256725.2/genes/GCA_000256725.2_TGCATPRC2_v2.augustus.gtf.gz
CtCo5	1194599	GCA_000278365.1	False	Contig		62620680				54.9x	52.5			Toxoplasma gondii	5811	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5809,5810,5811,1194599	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma	Toxoplasma gondii	Toxoplasma gondii CtCo5	https://genome.ucsc.edu/h/GCA_000278365.1	GCA_000278365.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/278/365/GCA_000278365.1/genes/GCA_000278365.1_ASM27836v1.augustus.gtf.gz
TgCATBr9	943120	GCA_000224825.2	False	Scaffold		64576794	2452.0	1507793.0	13.0	24.4x	52.5			Toxoplasma gondii	5811	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5809,5810,5811,943120	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma	Toxoplasma gondii	Toxoplasma gondii TgCATBr9	https://genome.ucsc.edu/h/GCA_000224825.2	GCA_000224825.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/224/825/GCA_000224825.2/genes/GCA_000224825.2_TGCATBR9_v2.augustus.gtf.gz
COUG	1074873	GCA_000338675.2	False	Scaffold		64967292	4205.0	2585366.0	10.0	46.8x	52.5			Toxoplasma gondii	5811	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5809,5810,5811,1074873	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma	Toxoplasma gondii	Toxoplasma gondii COUG	https://genome.ucsc.edu/h/GCA_000338675.2	GCA_000338675.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/338/675/GCA_000338675.2/genes/GCA_000338675.2_TGCOUG_v2.augustus.gtf.gz
FOU	943167	GCA_000224905.2	False	Scaffold		64501419	2869.0	1441128.0	15.0	31.0x	52.5			Toxoplasma gondii	5811	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5809,5810,5811,943167	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma	Toxoplasma gondii	Toxoplasma gondii FOU	https://genome.ucsc.edu/h/GCA_000224905.2	GCA_000224905.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/224/905/GCA_000224905.2/genes/GCA_000224905.2_TGFOU1v02.augustus.gtf.gz
RUB	935652	GCA_000224805.2	False	Scaffold		64934832	2424.0	2212539.0	10.0	30.6x	52.5			Toxoplasma gondii	5811	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5809,5810,5811,935652	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma	Toxoplasma gondii	Toxoplasma gondii RUB	https://genome.ucsc.edu/h/GCA_000224805.2	GCA_000224805.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/224/805/GCA_000224805.2/genes/GCA_000224805.2_TGRUB_v2.augustus.gtf.gz
TgCATBr5	943121	GCA_000259835.1	False	Contig		61636150				31.5x	52.5			Toxoplasma gondii	5811	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5809,5810,5811,943121	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma	Toxoplasma gondii	Toxoplasma gondii TgCATBr5	https://genome.ucsc.edu/h/GCA_000259835.1	GCA_000259835.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/259/835/GCA_000259835.1/genes/GCA_000259835.1_TGCATBR5.augustus.gtf.gz
ATCC 1015	380704	GCA_000230395.2	False	Contig		34853277				8.9x	50.5			Aspergillus niger	5061	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720871,5061,380704	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus niger	Aspergillus niger ATCC 1015	https://genome.ucsc.edu/h/GCA_000230395.2	GCA_000230395.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/230/395/GCA_000230395.2/genes/GCA_000230395.2_ASPNI_v3.0.augustus.gtf.gz
S	7165	GCA_000150785.1	False	Scaffold		236403076	13042.0	3800922.0	19.0	8.0x	44.5			Anopheles gambiae	7165	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7148,43786,41827,7157,43816,7164,44534,44537,44542,7165	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles gambiae		https://genome.ucsc.edu/h/GCA_000150785.1	GCA_000150785.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/785/GCA_000150785.1/genes/GCA_000150785.1_g4.augustus.gtf.gz
NRRL3357	332952	GCA_000006275.3	False	Scaffold		36852131	282.0	2388123.0	6.0	5.0x	48.5			Aspergillus flavus	5059	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720871,5059,332952	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus flavus	Aspergillus flavus NRRL3357	https://genome.ucsc.edu/h/GCA_000006275.3	GCA_000006275.3		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/006/275/GCA_000006275.3/genes/GCA_000006275.3_JCVI-afl1-v3.0.augustus.gtf.gz
Sylvio X10/1	5693	GCA_000188675.2	False	Contig		38589511				30.0x	51.0			Trypanosoma cruzi	5693	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,5690,47570,5693	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Trypanosoma	Trypanosoma cruzi		https://genome.ucsc.edu/h/GCA_000188675.2	GCA_000188675.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/188/675/GCA_000188675.2/genes/GCA_000188675.2_Tc_SX10_v2.0.augustus.gtf.gz
JR cl. 4	914063	GCA_000331405.1	False	Scaffold		41480847	15312.0	83591.0	95.0	69.0x	51.5			Trypanosoma cruzi	5693	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,5690,47570,5693,914063	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Trypanosoma	Trypanosoma cruzi	Trypanosoma cruzi JR cl. 4	https://genome.ucsc.edu/h/GCA_000331405.1	GCA_000331405.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/331/405/GCA_000331405.1/genes/GCA_000331405.1_Trypanosoma_cruzi_JR_cl4-1.1.4.augustus.gtf.gz
Esmeraldo cl. 3	366581	GCA_000327425.1	False	Scaffold		38081139	15803.0	66229.0	109.0	60.0x	51.0			Trypanosoma cruzi	5693	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,5690,47570,5693,366581	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Trypanosoma	Trypanosoma cruzi	Trypanosoma cruzi strain Esmeraldo	https://genome.ucsc.edu/h/GCA_000327425.1	GCA_000327425.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/327/425/GCA_000327425.1/genes/GCA_000327425.1_Trypanosoma_cruzi-5.1.3.augustus.gtf.gz
B7	85056	GCA_000300495.1	False	Contig		34226154				30.0x	51.0			Trypanosoma cruzi	5693	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,5690,47570,5693,85056	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Trypanosoma	Trypanosoma cruzi		https://genome.ucsc.edu/h/GCA_000300495.1	GCA_000300495.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/300/495/GCA_000300495.1/genes/GCA_000300495.1_ASM30049v1.augustus.gtf.gz
Tula cl2	1206070	GCA_000365225.1	False	Scaffold		83511206	45711.0	7772.0	1376.0	50.0x	51.5			Trypanosoma cruzi	5693	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,5690,47570,5693,1206070	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Trypanosoma	Trypanosoma cruzi	Trypanosoma cruzi Tula cl2	https://genome.ucsc.edu/h/GCA_000365225.1	GCA_000365225.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/365/225/GCA_000365225.1/genes/GCA_000365225.1_Trypanosoma_cruzi_Tula_cl2-1.0.1.augustus.gtf.gz
SD 75.1	860570	GCA_000250755.2	False	Scaffold		31242750	36.0	1022795.0	11.0	52.0x	59.5			Leishmania major	5664	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,1286322,5658,38568,38581,5664,860570	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania	Leishmania major	Leishmania major strain SD 75.1	https://genome.ucsc.edu/h/GCA_000250755.2	GCA_000250755.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/250/755/GCA_000250755.2/genes/GCA_000250755.2_Leishmania_major_SD_75.1-1.1.1.augustus.gtf.gz
LV39c5	860569	GCA_000331345.1	False	Scaffold		32327517	849.0	978401.0	12.0	55.0x	59.5			Leishmania major	5664	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,1286322,5658,38568,38581,5664,860569	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania	Leishmania major	Leishmania major strain LV39c5	https://genome.ucsc.edu/h/GCA_000331345.1	GCA_000331345.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/331/345/GCA_000331345.1/genes/GCA_000331345.1_Leishmania_major_LV39c5-1.0.1.augustus.gtf.gz
HM-1:IMSS-A	885318	GCA_000365475.1	False	Scaffold		12292336	1685.0	9673.0	371.0	18.2x	25.0			Entamoeba histolytica	5759	1,131567,2759,554915,2605435,555406,2682482,33084,5758,5759,294381,885318	Amoebozoa	Eukaryota			Evosea		Mastigamoebida	Entamoebidae	Entamoeba	Entamoeba histolytica		https://genome.ucsc.edu/h/GCA_000365475.1	GCA_000365475.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/365/475/GCA_000365475.1/genes/GCA_000365475.1_EHA_CA_v1.augustus.gtf.gz
KU27	885311	GCA_000338855.1	False	Scaffold		15272057	1796.0	12189.0	369.0	231.1x	25.0			Entamoeba histolytica	5759	1,131567,2759,554915,2605435,555406,2682482,33084,5758,5759,885311	Amoebozoa	Eukaryota			Evosea		Mastigamoebida	Entamoebidae	Entamoeba	Entamoeba histolytica	Entamoeba histolytica KU27	https://genome.ucsc.edu/h/GCA_000338855.1	GCA_000338855.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/338/855/GCA_000338855.1/genes/GCA_000338855.1_EHA_ku27_v1.augustus.gtf.gz
HM-1:IMSS-B	885319	GCA_000344925.1	False	Scaffold		12781904	1938.0	8820.0	434.0	243.3x	27.0			Entamoeba histolytica	5759	1,131567,2759,554915,2605435,555406,2682482,33084,5758,5759,294381,885319	Amoebozoa	Eukaryota			Evosea		Mastigamoebida	Entamoebidae	Entamoeba	Entamoeba histolytica		https://genome.ucsc.edu/h/GCA_000344925.1	GCA_000344925.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/344/925/GCA_000344925.1/genes/GCA_000344925.1_EHA_CB_v1.augustus.gtf.gz
HM-3:IMSS	885315	GCA_000346345.1	False	Scaffold		13830719	1880.0	11217.0	360.0	135.0x	25.0			Entamoeba histolytica	5759	1,131567,2759,554915,2605435,555406,2682482,33084,5758,5759,885315	Amoebozoa	Eukaryota			Evosea		Mastigamoebida	Entamoebidae	Entamoeba	Entamoeba histolytica	Entamoeba histolytica HM-3:IMSS	https://genome.ucsc.edu/h/GCA_000346345.1	GCA_000346345.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/346/345/GCA_000346345.1/genes/GCA_000346345.1_EHA.strHM3_v1.augustus.gtf.gz
SDA-500	30069	GCA_000349045.1	False	Scaffold		225369006	1110.0	837295.0	85.0	97.0x	45.0			Anopheles stephensi	30069	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7148,43786,41827,7157,43816,7164,44534,44535,30069	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles stephensi		https://genome.ucsc.edu/h/GCA_000349045.1	GCA_000349045.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/349/045/GCA_000349045.1/genes/GCA_000349045.1_Anop_step_SDA-500_V1.augustus.gtf.gz
Indian Wild Type (Walter Reed)	30069	GCA_000300775.2	False	Scaffold		221324304	23371.0	1591355.0	40.0	16.0x	45.0			Anopheles stephensi	30069	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7148,43786,41827,7157,43816,7164,44534,44535,30069	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles stephensi		https://genome.ucsc.edu/h/GCA_000300775.2	GCA_000300775.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/300/775/GCA_000300775.2/genes/GCA_000300775.2_ASM30077v2.augustus.gtf.gz
P15	658858	GCA_000182665.1	False	Contig		11522052				47.0x	47.0			Giardia intestinalis	5741	1,131567,2759,2611341,207245,5738,5739,68459,5740,5741,658858	Metamonada	Eukaryota			Fornicata		Diplomonadida	Hexamitidae	Giardia	Giardia intestinalis	Giardia lamblia P15	https://genome.ucsc.edu/h/GCA_000182665.1	GCA_000182665.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/182/665/GCA_000182665.1/genes/GCA_000182665.1_ASM18266v1.augustus.gtf.gz
GS/M clone H7	598745	GCA_000182405.1	False	Contig		11001532				16.0x	47.5			Giardia intestinalis	5741	1,131567,2759,2611341,207245,5738,5739,68459,5740,5741,598745	Metamonada	Eukaryota			Fornicata		Diplomonadida	Hexamitidae	Giardia	Giardia intestinalis	Giardia intestinalis ATCC 50581	https://genome.ucsc.edu/h/GCA_000182405.1	GCA_000182405.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/182/405/GCA_000182405.1/genes/GCA_000182405.1_ASM18240v1.augustus.gtf.gz
G3	412133	GCA_000002825.3	False	Scaffold		176420065	64769.0	27122.0	1020.0	7.2x	33.0			Trichomonas vaginalis	5722	1,131567,2759,2611341,5719,37104,181550,5721,5722,412133	Metamonada	Eukaryota			Parabasalia		Trichomonadida	Trichomonadidae	Trichomonas	Trichomonas vaginalis		https://genome.ucsc.edu/h/GCA_000002825.3	GCA_000002825.3		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/002/825/GCA_000002825.3/genes/GCA_000002825.3_ASM282v3.augustus.gtf.gz
MS6	1126212	GCA_000302655.1	False	Contig		48882845				66.0x	52.5			Macrophomina phaseolina	35725	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715962,147541,159987,451869,45131,35724,35725,1126212	Ascomycota	Eukaryota		Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Macrophomina	Macrophomina phaseolina	Macrophomina phaseolina MS6	https://genome.ucsc.edu/h/GCA_000302655.1	GCA_000302655.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/302/655/GCA_000302655.1/genes/GCA_000302655.1_MphMS6_1.0.augustus.gtf.gz
RP-78	273507	GCA_000167175.1	False	Contig		29842556					57.0			Phanerodontia chrysosporium	2822231	1,131567,2759,33154,4751,451864,5204,5302,155619,355688,5303,396331,2492674,2822231,273507	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Phanerodontia	Phanerodontia chrysosporium	Phanerochaete chrysosporium RP-78	https://genome.ucsc.edu/h/GCA_000167175.1	GCA_000167175.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/167/175/GCA_000167175.1/genes/GCA_000167175.1_ASM16717v1.augustus.gtf.gz
1006PhL	1220926	GCA_000401635.1	False	Scaffold		36348485	470.0	140649.0	82.0	45.0x	39.5			Mucor circinelloides	36080	1,131567,2759,33154,4751,112252,1913637,451507,2212703,4827,1344963,34489,4830,36080,1220926	Mucoromycota	Eukaryota		Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinelloides	Mucor circinelloides 1006PhL	https://genome.ucsc.edu/h/GCA_000401635.1	GCA_000401635.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/401/635/GCA_000401635.1/genes/GCA_000401635.1_Muco_sp_1006Ph_V1.augustus.gtf.gz
H143	544712	GCA_000151035.1	False	Scaffold		38922587	48.0	1740271.0	7.0		41.5			Histoplasma capsulatum	5037	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,299071,5036,5037,544712	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Histoplasma	Histoplasma capsulatum	Histoplasma capsulatum H143	https://genome.ucsc.edu/h/GCA_000151035.1	GCA_000151035.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/151/035/GCA_000151035.1/genes/GCA_000151035.1_ASM15103v1.augustus.gtf.gz
JEL423	403673	GCA_000149865.1	False	Scaffold		23722384	69.0	1707251.0	5.0	7.4x	39.5			Batrachochytrium dendrobatidis	109871	1,131567,2759,33154,4751,112252,4761,2683659,451435,451442,1142503,100474,109871,403673	Chytridiomycota	Eukaryota		Fungi	Chytridiomycota	Chytridiomycetes	Rhizophydiales		Batrachochytrium	Batrachochytrium dendrobatidis	Batrachochytrium dendrobatidis JEL423	https://genome.ucsc.edu/h/GCA_000149865.1	GCA_000149865.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/149/865/GCA_000149865.1/genes/GCA_000149865.1_BD_JEL423.augustus.gtf.gz
	43151	GCA_000211455.3	False	Contig		136935538				20.0x	48.5			Anopheles darlingi	43151	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7148,43786,41827,7157,43816,7164,44543,44545,44546,44552,43151	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles darlingi		https://genome.ucsc.edu/h/GCA_000211455.3	GCA_000211455.3		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/211/455/GCA_000211455.3/genes/GCA_000211455.3_A_darlingi_v1.augustus.gtf.gz
1-1 BBBD Race 1	630390	GCA_000151525.2	False	Scaffold		135343689	14818.0	544256.0	68.0	31.0x	46.5			Puccinia triticina	208348	1,131567,2759,33154,4751,451864,5204,29000,162484,5258,5262,5296,208348,630390	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia triticina	Puccinia triticina 1-1 BBBD Race 1	https://genome.ucsc.edu/h/GCA_000151525.2	GCA_000151525.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/151/525/GCA_000151525.2/genes/GCA_000151525.2_P_triticina_1_1_V2.augustus.gtf.gz
IFO4308	1033177	GCA_000239835.2	False	Scaffold		37081980	1162.0	897557.0	14.0	17.0x	49.0			Aspergillus luchuensis	1069201	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720871,1069201,1033177	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus luchuensis	Aspergillus luchuensis IFO 4308	https://genome.ucsc.edu/h/GCA_000239835.2	GCA_000239835.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/239/835/GCA_000239835.2/genes/GCA_000239835.2_Akaw_assembly01.augustus.gtf.gz
Silveira	443226	GCA_000170175.2	False	Scaffold		27583241	54.0	1220107.0	8.0	5.0x	46.5			Coccidioides posadasii	199306	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,33184,5500,199306,443226	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides posadasii	Coccidioides posadasii str. Silveira	https://genome.ucsc.edu/h/GCA_000170175.2	GCA_000170175.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/170/175/GCA_000170175.2/genes/GCA_000170175.2_CPS2.augustus.gtf.gz
RMSCC 3488	454284	GCA_000150055.1	False	Scaffold		28146501	6.0	4351581.0	3.0		46.5			Coccidioides posadasii	199306	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,33184,5500,199306,454284	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides posadasii	Coccidioides posadasii RMSCC 3488	https://genome.ucsc.edu/h/GCA_000150055.1	GCA_000150055.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/055/GCA_000150055.1/genes/GCA_000150055.1_ASM15005v1.augustus.gtf.gz
RMSCC 2133	469470	GCA_000150185.1	False	Scaffold		27848964	53.0	3719881.0	4.0		47.0			Coccidioides posadasii	199306	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,33184,5500,199306,469470	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides posadasii	Coccidioides posadasii RMSCC 2133	https://genome.ucsc.edu/h/GCA_000150185.1	GCA_000150185.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/185/GCA_000150185.1/genes/GCA_000150185.1_ASM15018v1.augustus.gtf.gz
RMSCC 3700	469471	GCA_000150215.1	False	Scaffold		25451258	241.0	284654.0	29.0		48.0			Coccidioides posadasii	199306	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,33184,5500,199306,469471	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides posadasii	Coccidioides posadasii RMSCC 3700	https://genome.ucsc.edu/h/GCA_000150215.1	GCA_000150215.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/215/GCA_000150215.1/genes/GCA_000150215.1_ASM15021v1.augustus.gtf.gz
RMSCC 1037	490065	GCA_000150555.1	False	Scaffold		26589484	633.0	62331.0	150.0		47.0			Coccidioides posadasii	199306	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,33184,5500,199306,490065	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides posadasii	Coccidioides posadasii RMSCC 1037	https://genome.ucsc.edu/h/GCA_000150555.1	GCA_000150555.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/555/GCA_000150555.1/genes/GCA_000150555.1_ASM15055v1.augustus.gtf.gz
CPA 0066	490069	GCA_000150645.1	False	Scaffold		27712713	473.0	87602.0	104.0		46.5			Coccidioides posadasii	199306	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,33184,5500,199306,490069	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides posadasii	Coccidioides posadasii CPA 0066	https://genome.ucsc.edu/h/GCA_000150645.1	GCA_000150645.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/645/GCA_000150645.1/genes/GCA_000150645.1_ASM15064v1.augustus.gtf.gz
